subjCode	seed	angleAssign	labelAssign	condition	room	date_time	dateStr	expVersion	block	trialType	trial	target	angle	left	right	freq	blit	clate	gled	gorm	grah	hoon	noobda	pim	nearbyLabel1	nearbyAngle1	nearbyFreq1	nearbyLabel2	nearbyAngle2	nearbyFreq2	updateScore	feedback	trialType	trialNumber	response	label	isRight	rt	score
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	1	clate	15	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	1	NA	north west	0	24094.4791763	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	1	clate	15	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	2	NA	clate	1	6911.33947728	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	2	minada	60	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	3	NA	minada	1	6759.98615431	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	3	gorm	105	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	4	NA	gorm	1	2604.06689816	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	4	sarp	150	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	5	NA	sarp	1	2183.68505744	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	5	grah	195	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	6	NA	grah	1	4180.88159435	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	6	mog	240	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	7	NA	morg	0	1738.50961884	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	6	mog	240	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	8	NA	mog	1	1006.22895558	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	7	dak	285	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	9	NA	dak	1	1883.09440218	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	init	name	8	frabda	330	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	10	NA	frabda	1	5692.13426339	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	1	clate	15	frabda	clate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	1	NA	clate	1	3999.1017626	0
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	2	clate	15	sarp	clate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	2	NA	clate	1	3080.04289725	1
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	3	dak	285	sarp	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	3	NA	sarp	0	5524.37848388	2
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	4	grah	195	minada	grah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	4	NA	grah	1	4593.34739716	2
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	5	grah	195	frabda	grah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	5	NA	grah	1	2669.61160215	3
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	6	grah	195	clate	grah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	6	NA	grah	1	2744.7103441	4
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	7	mog	240	mog	clate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	7	NA	mog	1	2053.10122879	5
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	8	frabda	330	frabda	clate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	8	NA	frabda	1	4175.47452599	6
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	9	frabda	330	sarp	frabda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	9	NA	frabda	1	3364.47201606	7
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	10	sarp	150	clate	sarp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	10	NA	sarp	1	2449.42217671	8
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	11	sarp	150	sarp	frabda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	11	NA	sarp	1	2275.73706795	9
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	12	frabda	330	gorm	frabda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	12	NA	frabda	1	5098.43045846	10
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	13	frabda	330	frabda	grah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	13	NA	frabda	1	3048.90517693	11
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	14	gorm	105	gorm	frabda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	14	NA	gorm	1	4114.73988328	12
202	1	1	2	test	558	2017-09-28 11:03	2017_Sep_28_1105	wc2_2_v1	learn	pairLearn	15	grah	195	grah	sarp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	15	NA	grah	1	3346.66157238	13
